name,default_code,attribute_name,attribute_value,descrizione,note,supplier,condizioni_di_acquisto,codice_allegato,uom_id,uom_po_id,categ_id
PROMO:ARMADIO,AVERSA LC EXPO,Variante,"PROMO:ARMADIO 2A SCORR L276 H252 CON PRED.X TV 43"" TUTTO LACC. BIANCO OP.9016 / PARTE CENT.ANTA SPOTSOL+SP GRIGIO FUME' C/AMM",,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM197,1,1,1
PROMO:ARMADIO,AVERSA AP,Variante,"PROMO:ARMADIO 2A SCORR L276 H252 CON PRED.X TV 43"" MELAMINICO / PARTE CENT.ANTA SPOTSOL+SP GRIGIO FUME' C/AMM",,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM198,1,1,1
PROMO:,KIT CEC SCO,Variante,PROMO: KIT ACCESSORI ARMADIO SCORREVOLE (CASSETTIERA - ALVEARE - COPPIA LED) ,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM1905,1,1,1
PROMO:,LIPARI  NEW PROMO,Variante,PROMO: CAMERA CON ARMADIO 2A SCORR L276 H252 P67 AMMORT + COMO L130 +2CDM L52  + SPECCHIERA (LETTO ESCLUSO) TUTTA BIANCO FRASSINO E NOCE AMERICA,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM1900,1,1,1
PROMO,LIPARI NEW,Variante,PROMO ST: CAMERA CON ARMADIO 2A SCORR L276 H252 P67 AMMORT + COMO L130 +2CDM L52  + SPECCHIERA (LETTO ESCLUSO) TUTTA BIANCO FRASSINO E NOCE ANERICA ,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM1900,1,1,1
PROMO:,MADAGASCAR EXPO,Variante,PROMO: CAMERA MATRIMONIALE FORMATA DA:-ARMADIO MAXI  L 276 H 252 SOFT CLOSING TUTTO BIANCO NUVOLA TOP MAT CON  CON VETRO NUVOLA E PARTICOLARE CANNETTATO -GRUPPO COMO + 2 COMODINI TUTTO BIANCO NUVOLA TOP MAT CON 1 CAEETTO CANNETTATO - LETTO ESCLUSO ,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM7350,1,1,1
PROMO:,MAIORCA PROMO,Variante,PROMO: CAMERA MATRIMONIALE TUTTA BIANCO NUVOLA TOP MATT CON MANIGLIA ARMADIO VERTICALE E 1 CASSETTO GRUPPO CON EFFETTO CANNETTATO.  FORMATA DA:- ARMADIO BATT 6A CM 276 H252 CERNIERE SOFT CLOSING -GRUPPO COMO+ 2 COMODINI CON PIEDI H2 LACCATI NERI NB LETTO ESCLUSO ,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM8531,1,1,1
PROMO:,MYKONOS PROMO,Variante,"PROMO: CAMERA MATRIMONIALE  BIANCO NUVOLA TOP MAT / NOCE AMERICA / SPECCHIO RIFLETTENTE, FORMATA DA:- ARMADIO 6A BATT L276 H252 CHIUSURA SOFT CLOSING-GRUPPO COMO + 2 COMODINI LETO ESCLUSO",,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM8535,1,1,1
CASSETTIERA,KIT CEC SCO E2,Variante,CASSETTIERA 3 CASSETTI + ALVEARE PER VANO DA CM 135 EFFETTO TESSUTO GOFFRATO ,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM26947,1,1,1
PROMO:,GELSO ARMADIO EXPO,Variante,PROMO: ARMADIO SCORREVOLE  L 276 H 252 SOFT CLOSING NUVOLA MAT.  SPECCHIO E NOCE AMERICA  C/MANIGLIONI RAL 9005 NERO OPACO,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM28997,1,1,1
PROMO:,GELSO GRUPPO AP,Variante,PROMO: GRUPPO COMO+2 COMODINI FIN. NUVOLA MAT. E NOCE AMERICA CON DISTANZIALI NERO OPACO,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM28998,1,1,1
PROMO:,GELSO GRUPPO EXPO,Variante,PROMO: GRUPPO COMO+2 COMODINI FIN. NUVOLA MAT. E NOCE AMERICA CON DISTANZIALI NERO OPACO CON KIT PIANE COMO' E COMODINI VETRO FUME' ,,,CECCHINI ITALIA SRL,Sconto 10%,CDATTCHM28998,1,1,1
TAVOLO,BISMAC 120 NERO,Variante,TAVOLO ROTONDO 120/ALL 160 PIEDE METALLO NERO PIANA M.NERO,,,CICIRIELLO SRL,Sconto 10%,CDATTCHM7026,1,1,1
TAVOLO,TOURN NERO,Variante,"TAVOLO CM 135X87 ALLUNGABILE, CON PIANO GIREVOLE CHE DIVENTA ROTONDTO DIAM.135 - PIANA EFFETTO MARMO  NERO, PIEDE METALLO VERINICIATO NERO",,,CICIRIELLO SRL,Sconto 10%,,1,1,1
SEDIA,SISTER NERO,Variante,SEDIA POLIPROPOLINE NERO,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
MADIA,RONNY ANT/TEK,Variante,MADIA cm 180 IN ROVERE TEAK E BASAMENTO CON STRUTTURA ANTRACITE,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
PROMO:SPECCHIERA,SPENORA03ARG,Variante,PROMO:SPECCHIERA 3 TRIANGOLO 60X91 ARGENTO,,,CICIRIELLO SRL,Sconto 10%,CDATTCHM427,1,1,1
TAVOLINO,RISCH 60 FU,Variante,TAVOLINO DIAM. 60 CM FIN. PIANA: NERO FUME' BASAMENTO: NERO,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
TAVOLINO,RISCH 80 FU,Variante,TAVOLINO DIAM. 80 CM FIN. PIANA: NERO FUME' BASAMENTO: NERO,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
TAVOLINO,MOLE 100 BR,Variante,TAVOLINO 100X65X38 VETRO MARTELLATO BRONZO TRASPARENTE,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
SPECCHIO,UNNA 100 BR,Variante,SPECCHIO DIM 100X100 FINITURA: BRONZATO,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
TAVOLINO,FUMO 45 BRSP/PB,Variante,TAVOLINO DIAM. 45CM PERLA BEIGE E SPECCHIO BRONZO,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
TAVOLINO,FUMO 60 BRMR/PB,Variante,TAVOLINO DIAM. 60CM PERLA BEIGE E VETRO MARTELLATO BRONZO RETRO ARGENTATO,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
TAVOLO,JEEP EASY 160 BIANCO,Variante,"TAVOLO  CM 160X 91 Aperto 240  /  PIANO PIETRA EFFETTO MARMO BIANCO OPACO, BASE METALLOVERNICIATO  BIANCO",,,CICIRIELLO SRL,Sconto 10%,CDATTCHM2498,1,1,1
SGABELLO,KIRA SGA GRIGIO CHIRO,Variante,SGABELLO GIREVOLE GAS  PIEDE METALLO NERO  SEDUTA IN TESSUTO GRIGIO CHIRO,,,CICIRIELLO SRL,Sconto 10%,CDATTCHM7032,1,1,1
TAVOLO,MARTA 120EXPO,Variante,TAVOLO DIAM120 PIEDE PERLA BEIGE PIANA VETRO MARTELLATO BRONZO RETROARGENTATO ,,,CICIRIELLO SRL,Sconto 10%,,1,1,1
TAVOLO,KLEDY 210EXPO,Variante,TAVOLO CM 210X110 FISSO BASE NERA PIANO CERAMICA EFFETTO MARMO SYMPHONIE ORO,,,CICIRIELLO SRL,Sconto 10%,CDATTCHM3984,1,1,1
PROMO:,RANGE BIANCO,Variante, PROMO: TAVOLO 140X90 ALL 210 PIEDI METALLO BIANCO PIANO PIETRA  MARMO BIANCO ,,,CICIRIELLO SRL,Sconto 10%,CDATTCHM7015,1,1,1
